phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,58,43,กปภ.สาขาชลบุรี,ม.ชลบุรี,สำนักงานประปาชลบุรี,20001977852,23050635,C,MV,159.6,1,1,1,,,1,280,,2,,,4,1,1,แรงสูง,,เช่าที่ราชพัสดุ,1,ก.2,ก,13.34561,100.97787,ชลบุรี,1,S,ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,S,1
2,59,44,กปภ.สาขาชลบุรี,ม.ชลบุรี,สถานีจ่ายน้ำบางปะกง (คลองหัวจาก),20019294752,20962220,C,LV,102.6,1,1,1,,,1,180,,,1,1,4,1,0,แรงสูง,,ที่ป่าไม้,1,ก.2,ก,13.50265,101.00348,ฉะเชิงเทรา,1,S,ต.บางปะกง อ.บางปะกง จ.ฉะเชิงเทรา 24130,S,1
2,60,45,กปภ.สาขาบางคล้า,น.บางน้ำเปรี้ยว,สถานีผลิตน้ำบางน้ำเปรี้ยว,20001788712,23066049,C,LV,100.32,1,1,1,,,1,176,,,1,1,3,1,0,มิเตอร์อยู่ที่เสาหม้อแปลง,,ที่ดิน กปภ.,1,ก.2,ก,13.85949,101.1431,ฉะเชิงเทรา,1,C,ต.บางขนาก อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,C,1
2,61,46,กปภ.สาขาบางคล้า,ม.พนมสารคาม,สถานีจ่ายน้ำหัวสำโรง,20026413010,6300406894,C,MV,433.2,1,1,1,,,1,760,,5,,,13,1,1,แรงสูง,,ไม่มีข้อมูล,1,ก.2,ก,13.6569811,101.27179,ฉะเชิงเทรา,1,C,ต.หัวสำโรง อ.แปลงยาว จ.ฉะเชิงเทรา 24190,C,1
2,62,47,กปภ.สาขาบางคล้า,น.เทพราช,สถานีจ่ายน้ำพิมพา,20018305293,6500645247,C,LV,75.24,1,1,1,,,1,132,,1,,,3,1,0,แรงสูง,,ที่ดินของ กปภ.(น.จ.4),1,ก.2,ก,13.61554,100.94481,ฉะเชิงเทรา,1,C,ต.พิมพา อ.บางปะกง จ.ฉะเชิงเทรา 24180,C,1
2,63,48,กปภ.สาขาบางคล้า,น.เทพราช,สถานีผลิตน้ำคลองหลวงแพ่ง,20018681086,6300407709,C,MV,192.66,1,1,1,,,1,338,,2,,,5,1,1,แรงสูง,,ที่ดินของ กปภ.(น.จ.4),1,ก.2,ก,13.78145,100.94421,ฉะเชิงเทรา,1,C,ต.คลองหลวงแพ่ง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,C,1
2,64,49,กปภ.สาขาพัทยา,ม.พัทยา,สถานีผลิตน้ำมาบยางพร,20016576384,6201224222,C,MV,633.84,1,1,1,,,1,1112,5,,,,16,2,1,แรงสูง,,ที่ดิน กปภ.,1,ก.2,ก,13.0178,101.13372,ระยอง,1,S,ต.มาบยางพร อ.ปลวกแดง จ.ระยอง 21140,S,1
2,65,50,กปภ.สาขาบ้านบึง,ม.บ้านบึง,สถานีผลิตน้ำแม่ข่ายบ้านบึง,20002629621,27730760,C,MV เสามิเตอร์ไกล้เสาหม้อแปลง(ระยะปักเสาไม่พอ),100.32,1,1,1,,,1,176,,,1,1,3,1,1,แรงสูง,,ไม่มีข้อมูล,1,ก.2,ก,13.29932,101.10879,ชลบุรี,1,C,ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,C,1
2,66,51,กปภ.สาขาพนมสารคาม,ม.พนมสารคาม,สถานีผลิตน้ำเกาะขนุน,20001771406,20964046,C,MV,524.4,1,1,1,,,1,920,4,,,,15,1,1,แรงสูง,,นส.4 ง.,1,ก.2,ก,13.7238,101.3821,ฉะเชิงเทรา,1,C,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,C,1
2,67,52,กปภ.สาขาพนมสารคาม,ม.พนมสารคาม,สถานีผลิตน้ำท่าตะเกียบ,20020380527,5900800584,C,MV,131.1,1,1,1,,,1,230,1,,,,4,1,1,แรงสูง,,กรมป่าไม้ (เขตป่าสงวนแห่งชาติ),1,ก.2,ก,13.449552,101.65588,ฉะเชิงเทรา,1,C,ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,C,1
